,smiles,similarity
95,Cc1cc(O[CH](C)C(=O)NC2CCN(Cc3ccccc3)CC2)c2c(C)cc(=O)oc2c1,0.1186572011488656
52,CCN1CCN(CCOc2ccc3c(=O)c(-c4ccc(Cl)cc4)c(C)oc3c2)CC1,0.11847937129008698
61,O=C1Nc2ccccc2Nc2cc(Br)ccc21,0.11544508733463914
50,COc1ccc(OCCN2CCN(C(=O)c3ccc(OC)cc3)CC2)cc1,0.11290815283472563
54,CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(O)c(CN3CCOCC3)c12,0.10843842040392347
18,Cn1cc(C[CH](NC(=O)OC(C)(C)C)C(=O)Nc2cn[nH]c2)c2ccccc21,0.10715323339507961
22,COc1ccc(-n2c(SCC(=O)N3CCCC3)nc3ccccc3c2=O)cc1,0.10595917824854634
72,O=C(CSc1ncn[nH]1)c1ccc2c(c1)OCCO2,0.10341593060594606
27,O=C1/C(=C/c2ccco2)Oc2c1ccc1c2CN(CCc2cccs2)CO1,0.10017798770549789
58,O=C(NCc1ccc(F)cc1)[CH]1Cc2c([nH]c3ccccc23)[CH]2c3ccccc3C(=O)N12,0.09962934286910306
79,COc1cccc2[nH]c(C(=O)NCCN(C)C)cc12,0.09125618194044907
9,COc1ccc(-n2c(=O)[nH]c3cc(OC)c(OC)cc3c2=O)cc1,0.09008613814974001
38,N#C/C(=C/c1ccc(Cl)cc1Cl)c1cccc2ccccc12,0.08586322729784672
43,C[CH](NC(=O)CNC(=O)OCc1ccccc1)C(=O)N1CCC[CH]1C(=O)Nc1ccc2ccccc2c1,0.08213041251837898
7,CCOC(=O)C1=C(C)N(N)C(=O)N[CH]1c1ccc2c(c1)OCO2,0.07976957620157665
33,CCN(CC)c1ccc([CH]2[CH]3CCCC[C]3(O)CCN2Cc2ccccc2F)cc1,0.0797069373315775
86,Oc1cc(OCc2ccc(Cl)cc2)ccc1-c1[nH]ncc1-c1ccc(Cl)cc1,0.07868274158727653
8,NC(=O)c1cccnc1Nc1cccc(C(F)(F)F)c1,0.07490034349756651
14,Cc1ccc(S(=O)(=O)N2CCC(C(=O)NC(C(C)C)C(C)C)CC2)cc1,0.07262820735399392
23,Clc1ccc(Cl)c(-c2nc3cc(Cl)ccc3[nH]2)c1,0.07123879246534771
21,COc1cc(-c2nc(CN3C[CH]4C[CH](C3)c3cccc(=O)n3C4)c(C)o2)cc2c1OCO2,0.07121256932724493
49,FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(C3CC3)CC1)c1ccccc1S2,0.06600901482123159
51,COC(=O)Cc1csc(NC(=O)Cc2c(C)c3ccc(OC)c(OC)c3oc2=O)n1,0.06281733412812202
24,CN(C)CCNC(=O)C(=O)Nc1ccccc1C(=O)NCCc1c[nH]c2ccc(Cl)cc12,0.06133336205659811
11,COc1ccccc1/C=N\NC(=O)c1cc(Br)ccc1O,0.05964410036503503
13,CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)[CH]2c1cc(Cl)ccc1OCc1ccccc1,0.05809560307817013
31,CC(C)c1nc(C#N)c(N2C[CH]3C[CH](C2)c2cccc(=O)n2C3)o1,0.05252088909143709
59,O=C(NCc1ccc(F)cc1)[CH]1Cc2c([nH]c3ccccc23)[CH]2c3ccccc3C(=O)N21,0.05149470405104117
84,FC(F)(F)c1cccc(N2CCN(CCN3CCOCC3)CC2)c1,0.04410845740684337
29,CN(C)CCc1c[nH]c2ccc(Cc3[nH]c4ccc(CS(=O)(=O)N5CCCC5)cc4c3CCN(C)C)cc12,0.028742071969260694
62,c1ccc(-c2cnc(CN3CCc4ccccc4C3)o2)cc1,0.026453296258519297
63,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2ccccn2)n1,0.01727592511746001
4,O=Cc1cc(F)c(F)c(F)c1,0.01720720951098582
15,Fc1ccc(OC[CH]2CNCCO2)c(Cl)c1,-0.012319533974791849
98,CCCN1CC[CH](N2CCCCC2)CCC1=O,-0.017483643210156493
