comment,sentiment_score
都怪我偏偏要去爱偏偏幻想我会是例外不知好歹,0.998251672
我查了我们这边5个影院，3天的排片，一个人都没有。,0.26175997
我去我在张家界，我7号就去长沙,0.127442362
表情好可爱啊,0.907470021
你啥时候去啊,0.513161193
我我我我想去,0.531161407
路演电影上海堡垒见面会深圳8.9长沙8.8日有入场Vip名额6个,0.077195389
姐妹，你多少钱买的票啊,0.105708526
"恭喜你的优质内容进入热门流电影频道曝光~持续沿着垂直领域方向创作，获取更多流量,详情见",0.999853458
营销号带节奏的,0.565631767
请问你还有票吗,0.02920234
好听！,0.333333333
求互评3,0.063992496
可能我双商比较低吧，我的确没看懂，没理解这部电影想讲什么。,0.872009444
很精彩,0.810425173
姗姗来迟的我,0.2
正如采访中导演说的一样！观众都不瞎！,0.972580927
如果你不欢喜我说这样的话，我仍然可以否认这些话是我说的，因为我只愿意说你所喜欢听的话。,0.419587522
我也准备买288了,0.383267353
拜访博主来了,0.447678459
互动不谈以前的艰难，只论现在的坚持。,0.914549525
劳资超喜欢绘梨衣,0.874367121
早安打榜互评置顶,0.54539097
给你个小爱心,0.853128013
楚子航别江南老贼写死了,0.450887287
啊啊啊啊,0.890142453
厉害厉害熬夜冠军,0.861401496
也许我可以试试！,0.811782359
我也想吃,0.536696834
有奖品有奖品,0.890142453
微博上全是五星好评,0.530905769
酷,0.736842105
高，还好吗？,0.800802984
其实画的时候并没有参考p2orz导致服装动作不一致请自行忽略,0.063978685
看到鹿晗就知道电影是啥货色了,0.899017317
期待611,0.66602234
可爱又真实的G,0.947036686
我脑补台词“杨建南你别太过分！”（江江骂人gif),0.728223212
互评互评呀,0.042779442
龙岭迷窟和云南虫谷表示不服啊,0.03120201
超帅的,0.75
还我电影票钱,0.354361969
喜欢害羞的你,0.676929349
我忘了,0.549668874
好可爱啊哈哈哈,0.97735105
互评互助互赞,0.731592799
从男一号选角色来看，第八都抬举了,0.86870334
超级帅气,0.513949405
太温柔,0.712412004
好可爱,0.878967658
鹿晗加油,0.885059133
幸好没中坑一部没看,0.070930225
连续三天有消息,0.319338601
可以收图吗,0.270422096
转发微博,0.643890713
一部我也没看过,0.510503642
周一快乐,0.942875079
小江的帽子嘞,0.565159504
穿着YOYUU做饭,0.602070376
怎么奇怪,0.316939891
昨天看见你画的上海大炮那个，今天又刷到了这个,0.090215887
来了互评,0.18220574
missu,0.5
哇，气鼓鼓的江洋,0.533310349
鹿晗鹿晗,0.421874598
爱你?,0.728013171
单方面认为的情敌见面,0.855108613
互评,0.18220574
互评一下下吗,0.062672255
1.别问，问就是0809期待鹿晗。2.别问，问就是成见是一座大山。3.别问，问就是没看过没资格评论。4.别问，问就是不好看就别看。5.别问，问就是流量是原罪。6.别问，问就是主演担任导演制片后期。7.别问，问就是别拉我家哥哥下场。8.别问，问就是鹿晗歌手跨界演技进步。9.别问，问就是生而为人请你善良！,1.46539E-05
烂的都没法说了。。。,0.012085656
与玫瑰,0.75
可能大家都想知道它有多烂,0.543064963
小伙子不错，明天开始写简报吧,0.791782958
继续蹲,0.642857143
这是烂出新高度了……,0.681187314
捞我自己！,0.8
你看看odeon官网有没有,0.201552646
关键是明明过去了一些坑，偏偏倒回去重新踩一遍,0.023492741
还好一部都没看过,0.829477536
一部没看,0.510503642
哪有豆瓣低分排行榜呢找不到啊,0.035767962
把鹿晗换掉，其他的小鲜肉全换，票房口碑就OK了,0.32663823
明天吴京出来道歉了:我不应该鼓励你们的,0.529584204
看了之后都对科技类电影失望了还会去看吴京的？,0.959975222
希望大家多多支持上海堡垒……独家手机合作伙伴——小米，别让小米亏得太惨了,0.777640497
思路清奇啊,0.724642712
你说的有点对呀,0.308779201
直接购买单曲就可以啦,0.626013116
美丽的宝贝,0.971752151
招黑？,0.106630698
好看,0.711246201
您没看过您别评价,0.298705136
吴京好惨，竟然要被一个流量蹭流量,0.413268382
哈哈哈哈哈哈哈哈,0.975134927
回复,0.158273381
