,smiles,similarity
67,Nc1ccc(Br)cc1Cl,0.174088617
19,COc1ccccc1NC(=O)Nc1cc([N+](=O)[O-])ccc1OC,0.173893694
56,CC(=O)N(C)c1ccc2c(c1)C(=O)c1ccccc1-2,0.171798459
48,COc1ccc(CNC(=O)C(=O)Nc2cc(C)nc3ccccc23)cc1,0.170569645
94,CC(=O)c1nn(-c2cccc(C(F)(F)F)c2)c(=N)s1,0.169044122
96,COc1ccccc1C[CH]1C(=O)Nc2ccccc21,0.158211654
25,COc1cccc(N(C)S(=O)(=O)c2ccc(C)cc2)c1,0.15722428
41,CC(C)c1ccc(COC(=O)/C=C\C(=O)NC(N)=O)cc1,0.156633786
53,CCOc1ccc(C(=O)c2ccccc2)cn1,0.153591068
39,COc1cccc(C(=O)Oc2ccc3c(c2)O/C(=C\c2cccs2)C3=O)c1,0.153480267
37,COc1ccc2[nH]cc(CC#N)c2c1,0.14999989
64,Cc1ccc(NC(=O)CCCC[CH]2[CH]3NC(=O)N[CH]3CS2(=O)=O)cc1,0.149580377
55,CCCN(CCC)C(=O)Nc1ccc(C)c([N+](=O)[O-])c1,0.149457925
17,N[CH](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)O,0.149178904
57,CC(=O)c1ccc(F)cc1C,0.144377667
82,CN(C)CCNC(=O)c1cccc2nc3c4ccccc4c4ccccc4c3nc12,0.142890791
16,CSCC[CH](NC(=O)[CH](Cc1c[nH]c2ccccc12)n1c(=O)[nH]c2ccccc2c1=O)C(=O)O,0.138533599
42,CNC(=O)c1cn(-c2ccc(Cl)cc2)c(=O)c2ccccc12,0.136032567
2,COc1ccc(-c2cc3ccc4c(c3oc2=O)CN(Cc2ccccn2)CO4)cc1OC,0.133609447
3,O=C(Oc1ccc(-c2ccc(O)cc2)cc1)c1ccccc1,0.133375589
89,Cc1ccc(/C=C2/N=C(c3ccc([N+](=O)[O-])cc3)OC2=O)cc1,0.13166749
91,COC(=O)CC1CCN(C(=O)c2cn(CC(C)C)c(=O)c3ccccc23)CC1,0.129105055
76,O=C1[CH]2Cc3c([nH]c4ccccc34)CN2C(=O)CN1/N=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1,0.126881402
47,Cc1ccc(NC(=O)N[CH](C(=O)O)C(C)C)cc1C,0.126612089
40,Cc1cc(=O)c2c(C)cccc2[nH]1,0.12581138
99,Cc1c([CH](N)C(C)C)oc2ccccc12,0.125220043
88,O=C(N[CH]1COC[CH]1F)c1ccccn1,0.124764396
45,CCN(CC)c1ccc(/C=C\C(=O)c2ccccc2)cc1,0.123143736
66,O/N=C/c1cn(-c2ccccc2)nc1-c1cc2ccccc2o1,0.122303414
6,N#C/C(=N\Nc1ccc(Br)cc1)S(=O)(=O)c1ccccc1,0.12137375
30,COCCNC(=O)C1c2ccccc2Oc2ccccc21,0.120658552
74,CC(=O)N1CC2=C(C1=O)[CH](c1cc3ccccc3nc1O)c1cn(CCC(C)C)c3cccc(c13)N2,0.118855228
73,COc1ccc([CH]2N[CH](C(=O)O)Cc3c2[nH]c2ccccc32)cc1CSc1nnc(C)s1,0.118822234
95,Cc1cc(O[CH](C)C(=O)NC2CCN(Cc3ccccc3)CC2)c2c(C)cc(=O)oc2c1,0.118682073
52,CCN1CCN(CCOc2ccc3c(=O)c(-c4ccc(Cl)cc4)c(C)oc3c2)CC1,0.117834561
61,O=C1Nc2ccccc2Nc2cc(Br)ccc21,0.11514965
50,COc1ccc(OCCN2CCN(C(=O)c3ccc(OC)cc3)CC2)cc1,0.110213248
72,O=C(CSc1ncn[nH]1)c1ccc2c(c1)OCCO2,0.106670058
54,CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(O)c(CN3CCOCC3)c12,0.10595261
18,Cn1cc(C[CH](NC(=O)OC(C)(C)C)C(=O)Nc2cn[nH]c2)c2ccccc21,0.104733103
22,COc1ccc(-n2c(SCC(=O)N3CCCC3)nc3ccccc3c2=O)cc1,0.103113255
27,O=C1/C(=C/c2ccco2)Oc2c1ccc1c2CN(CCc2cccs2)CO1,0.098070616
58,O=C(NCc1ccc(F)cc1)[CH]1Cc2c([nH]c3ccccc23)[CH]2c3ccccc3C(=O)N12,0.097005542
9,COc1ccc(-n2c(=O)[nH]c3cc(OC)c(OC)cc3c2=O)cc1,0.096350793
79,COc1cccc2[nH]c(C(=O)NCCN(C)C)cc12,0.091033123
8,NC(=O)c1cccnc1Nc1cccc(C(F)(F)F)c1,0.088333807
38,N#C/C(=C/c1ccc(Cl)cc1Cl)c1cccc2ccccc12,0.082795518
86,Oc1cc(OCc2ccc(Cl)cc2)ccc1-c1[nH]ncc1-c1ccc(Cl)cc1,0.08066534
43,C[CH](NC(=O)CNC(=O)OCc1ccccc1)C(=O)N1CCC[CH]1C(=O)Nc1ccc2ccccc2c1,0.080287414
